Company Name,City/Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter/Decision-Maker,Growth Signals,Source
ANUBHAV PLAST LIMITED,"01, 1987, vide certificate of incorporation bearing",See DRHP ‘Industry / Business overview’ section.,www.anubhavpole.com; www.bigshareonline.com; www.capitalsquare.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Anuroop Packaging Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Amarnath Matadin Sharma; Mr. Akash Amarnath Sharma; Mr. Akshay Amarnath Sharma; Mr. Amarnath Matadin Sharma SSPL Sara Solutions,Not assessed (no machine-readable text).,BSE DRHP
Apana Logistics Limited,please refer to the section title “History and Corporate Structure” on page no. Error! Bookmark not defined. of this Draft Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.apanalogistics.com; www.corporatemakers.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Neelam Damji Shah; Mr. Rohit Pareek; Mr. Manish Kumar Singh SEBI Registration Number; Mr. Pratyaksh Sureka; Mr. Adarsh Sureka; Mr. Shrawan Kumar Sureka Date; Mr. Shrawan Kumar Sureka; Mrs. Devika Sureka,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Apollo Techno Industries Limited,"the Bid Opening Date and the Bid/ Issue Closing Date and the floor price or price band along with necessary details subject to regulation 250 of SEBI ICRD Regulations. This advertisement, subject to the provisions of section 30 of the Companies Act, 2013, shall be in the format prescribed in Part A of Schedule X of the SEBI Regulations.",See DRHP ‘Industry / Business overview’ section.,https://in.mpms.mufg.com/; www.apollotechno.com; www.beelinemb.com,"6,897.67 lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Patel Parth Rashmikant,ISO certification mentioned; subsidiary / group structure,BSE DRHP
Apsis Aerocom Ltd,Pune,Specialty Manufacturing (Aerospace),apsisaerocom.com,₹80–150 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Mar 2026,data.csv
APTUS PHARMA LIMITED,Company was changed to “Aptus Pharma Limited.” The Corporate Identification Number of our Company is U24230GJ2010PLC061957.,See DRHP ‘Industry / Business overview’ section.,www.aptus-pharma.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Arbuda Agrochemicals Ltd,Ahmedabad,Specialty Manufacturing (Agrochemicals),arbudaagro.com,₹60–100 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
ARC DISTRIBUTORS (I) LIMITED,chapter titled “History and Corporate Structure” beginning on page 162 of this Draft Red Herring Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.arc-distributors.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Archee Group Contracts Limited,"National Capital Territory of Delhi and Haryana pursuant to a certificate of incorporation dated May 16, 2011 bearing Corporate Identification Number (",See DRHP ‘Industry / Business overview’ section.,www.archeegroup.com,200 lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Monika Dhaka Promoter Selling Shareholder Up; Ms. Monika Dhaka. Later,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Archit Nuwood Industries Limited,"Company was converted into Public Limited Company and name of company was changed to “Archit Nuwood Industries Limited” vide fresh certificate of incorporation dated December 27, 2023 issued by the Registrar of Companies, Delhi. For further details, pleas e refer to chapter titled “History and Corporate Structure” beginning on page 159 of this Draft Red Herring Prospectus.","21. In Chapter titled “Our Management” beginning on Page 163 of the Draft Red Herring Prospectus, table of ‘ Family Relationship Between Directors’ has been inserted, Organization Structure has been updated, years of experience of Key Managerial Personnel have been updated. 22. In Chapter titled “",www.architnuwood.com; www.maashitla.com; www.shareindia.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Rahul Kumar; Mr. Vineet Kumar Whole Time Director; Mr. Vinod Kumar Singla Managing Director; Mr. Prem Chand Director; Mr. Ravinder Sharma Director; Mr. Sahil Arora Independent Director; Mr. Ajay Kumar Independent Director; Mr. Anisha Modi Independent Director; Mrs. Roopa Garg Independent Director; Mr. Rahul Kumar Company Secretary,subsidiary / group structure,BSE DRHP
Arete 22 Ltd,Mumbai,Specialty Manufacturing (Consulting/Business Services),arete22.com,₹30–60 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
Aritas Vinyl Limited,"3. One of our promoter group company Elegant Vinyl Private Limited is engaged in the similar business in which issuer company is engaged which may create a conflict of interest. Further, we do not enjoy contractual protection by way of a non-compete or other agreement or arrangement with our group company.",See DRHP ‘Industry / Business overview’ section.,www.aritasvinyl.com; www.bigshareonline.com; www.ifinservices.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Anilkumar Prakashchandra Agrawal; Mr. Sanjaykumar Kantilal Patel; Mr. Roque Antonio Dias,ISO certification mentioned,BSE DRHP
ARROWHEAD SEPERATION ENGINEERING LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
Artemis Electricals Limited,"Maharashtra dated August 27, 2015 and name of our Company was changed to “Artemis Electricals Limited”. The Corporate Identification Number is U51505MH2009PLC196683. For details of incorporation, change of name and registered office of our Company, please refer to the chapter titled “General Information” and “",See DRHP ‘Industry / Business overview’ section.,www.artemiselectricals.com; www.cameoindia.com; www.fedsec.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: 1) Pravin Kumar Agarwal,ISO certification mentioned,BSE DRHP
ASARFI HOSPITAL LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
Ashapuri Gold Ornament Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Prince Saraf; Mr. Saremal Soni; Mr. Dinesh Soni; Mr. Jitendra Soni. Promoter Group Such,Not assessed (no machine-readable text).,BSE DRHP
Ashutosh Fibre Ltd,Surat,Specialty Manufacturing (Textiles/Fibre),ashutoshfibre.com,₹50–90 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
ASSOCIATED COATERS LIMITED,See DRHP ‘General Information’ — address not matched by pattern., The Following Changes or Updation has been incorporated under the chapter “,Search DRHP / issuer for corporate website.,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
ASSTON PHARMACEUTICALS LIMITED,"Bhavan, Plot No 42A Sector -11 CBD Bel apur, Navi Mumbai, Thane – 400 614, 3 | P a g e",See DRHP ‘Industry / Business overview’ section.,www.asstonpharmaceuticals.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Dr. Ashish Narayan Sakalkar,subsidiary / group structure,BSE DRHP
Astonea Labs Ltd,"House No. 1358, 1st Floor Sector-22B, Chandigarh, 160022 SCO 331, Second Floor, Sector 9, Panchkula, Haryana – 134113 M Company Secretary and Compliance Officer Type Fresh Issue Size (In Lakh) Offer For Sale Size Fresh Issue Fresh Issue of up to 27,90,000 Equity Shares of face value of ₹ [●] each aggregating up to ₹ [●] Lakhs NIL",See DRHP ‘Industry / Business overview’ section.,https://www.astonea.org/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Avneet Kaur; Ms. Alka Mishra Email; Mr. Murali Krishna; Mr. Ashish Gulati,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Astron Multigrain Limited,Download failed (timeout or HTTP error).,,,,,DRHP: Mr. Jenish Parshottambhai Khunt; Mr. Ikshit Shah; Mr. Yash Doshi Email,,BSE DRHP
Atam Valves Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
Aten Papers and Foam Limited,"Madhav Nagar, 11/12 S V Road, Andheri West, Mumbai City – 400058 (Maharashtra). Merchant Banking Division Address: 48 Jaora Compound, M.Y .H Road, Indore (MP) – 452001; Telephone Number: +91-22-26254568-69 / 0731-6644244; Email Id: merchantbanking@swastika.co.in; Investors Grievance Id: mb.investorgreivance@swastika.co.in; Website: WWW.swastika.co.in",See DRHP ‘Industry / Business overview’ section.,www.atenpapers.com; www.skylinerta.com; www.swastika.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Neha Munot. PROMOTERS OF OUR,subsidiary / group structure,BSE DRHP
ATHARVA POLY-PLAST LIMITED,"Corporate Identification Number U25209PN2014PLC150099. For details of Incorporation, change of name, and registered office of our Company, please refer to the chapter titled “",See DRHP ‘Industry / Business overview’ section.,https://atharvapolyplast.in/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Aureate Tradde Limited,"delayed compliance /lapses may attract certain penalties The Company has generally complied with certain statutory provisions and there are the following discrepancies observed under provisions of Companies Act, 2013.",See DRHP ‘Industry / Business overview’ section.,www.aureatetradde.in; www.corporatemakers.in,"1,000 Lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Austere Systems Limited,"TELEPHONE WEBSITE Office 301-303, A Square, Plot No. 34 A DC Sector 26, Pradhikaran, Pune, Maharashtra, India, 411044 Unit No 120 First Floor Vipul Plaza, Suncity Sector -54, DLF QE, Gurgaon, Dlf Qe, Haryana, India, 122002 Ms. Shampa Juneja Company Secretary and Compliance Officer Email-id: compliance@austere.co.in Tel.: +91 97738 23372 www.austeresystems.com",Summary of Financial Information: A summary of the financial information of,www.austeresystems.com; www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Autofurnish Limited,"K-55, Udyog Nagar, Peeragarhi, Nangloi, West Delhi, New Delhi-110041",See DRHP ‘Industry / Business overview’ section.,www.autofurnish.com; www.novuscaps.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Srishti Narang Company Secretary; Mr. Puneet Arora; Mr. Ruppal Wadhwa DETAILS OF OFFER TO; Ms. Srishti Narang,capacity expansion; subsidiary / group structure,BSE DRHP
Avana Electrosystems Ltd,Pune,Specialty Manufacturing (Electronics),avanaelectrosystems.com,₹80–150 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
Avax Apparels And Ornaments Limited,"& Haryana. For further details, please refer to """,See DRHP ‘Industry / Business overview’ section.,https://www.avaxapparels.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Shruti Jain Company Secretary; Mrs. Rati Gupta SKI CAPITAL SERVICES LIMITED; Dr Joshi Road; Mr. Manick Wadhwa; Mr. Ghanisht Nagpal ISSUE PROGRAMME ISSUE OPENS; Mr. Vinod Malhotra; Mrs. Dipti Malhotra; Mr. Harinderpal Singh Sodhi,backward integration,BSE DRHP
Avax Soft Technologies Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Manick Wadhwa Mr. Ghanisht Nagpal Email; Mrs. Rati Gupta Email; Mr. Harinderpal Singh Sodhi; Mr. Harish Kumar. For,Not assessed (no machine-readable text).,BSE DRHP
Avience Biomedicals Ltd,Chennai,Specialty Manufacturing (Healthcare/Biotech),aviencebiomed.com,₹60–100 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Jul 2025,data.csv
Avtar Career Creators Limited,"relation to use of the pr emises could have a material adverse effect on our business and results of operations Our Registered Office, located at No. 10, Raja Nagar, Neelangarai, Chennai – 600041, has been taken on lease from our Promoter and Managing Director, Dr. Saundarya Rajesh, since inception of our Company. The current lease arrangement is for a period of 11 months commen",See DRHP ‘Industry / Business overview’ section.,https://in.mpms.mufg.com/; www.avtarcc.com; www.mefcomcap.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Dr. Saundarya Rajesh; Mr. Akshey Rajesh; Mr. Umasanker Kandaswamy DETAILS OF THE ISSUE; Mr. Umasanker Kandaswamy THE ISSUE INITIAL PUBLIC,hiring / recruitment; subsidiary / group structure,BSE DRHP
Avyukta Dairy Products Limited,"the conversion of our Company to public limited Company, the name of our Company has been changed to “Avyukta Dairy Products Limited” vide fresh Certificate of Incorporation dated July 09, 2021 issued by the Registrar of Companies, Delhi. For further details of Incorporation, change of name and registered office of our Company, please refer to chapter titled “General Information” and “",See DRHP ‘Industry / Business overview’ section.,www.avyuktadairy.com; www.masserv.com; www.navigantcorp.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Nisha Singh; Ms. Anjani Mittal Promoters Group Companies; Mr. Avdhesh Mittal. Companies Act; Ms. Nisha Singh. Depositories Act The Depositories; Mr. Avdhesh Mittal; Ms. Anjani Mittal. For; Ms. Anjani Mittal,subsidiary / group structure,BSE DRHP
